Year,Location,No_of_Participants,Description
1995,"Birmingham, London",N/A,N/A
1996,"Birmingham, London",N/A,N/A
1997,"Birmingham, London",N/A,N/A
1998,"Birmingham, London",N/A,N/A
1999,"Birmingham, London",N/A,N/A
2000,"Birmingham, London",N/A,N/A
2001,"Birmingham, London",N/A,N/A
2002,"Birmingham, London",N/A,N/A
2003,"Birmingham, London",N/A,N/A
2004,"Birmingham, London",N/A,N/A
2005,"Birmingham, London",N/A,N/A
2006,"Birmingham, London",N/A,N/A
2007,"Birmingham, London",N/A,N/A
2008,"Birmingham, London",N/A,N/A
2009,"Birmingham, London",N/A,N/A
2010,"Birmingham, London",N/A,N/A
2011,"Birmingham, London",N/A,N/A
2012,"Birmingham, London",N/A,N/A
2013,"Birmingham, London",N/A,N/A
2014,"Birmingham, London",N/A,N/A
2015,"Birmingham, London",N/A,N/A
2016,"Birmingham, London",N/A,Crufts celebrates its 125th year.
2017,"Birmingham, London",N/A,N/A
2018,"Birmingham, London",N/A,N/A
2019,"Birmingham, London",N/A,N/A
2020,"Birmingham, London",N/A,N/A
2021,"Birmingham, London",N/A,N/A
2022,"Birmingham, London",N/A,N/A
2023,"Birmingham, London",N/A,Celebrations of The Kennel Club's 150th Anniversary
2024,"Birmingham, London",24000,"Crufts 2024 attracted 24,000 dogs and over 155,000 visitors, with 8.7 million viewers tuning in from around the world."
